username,password,result
standard_user,secret_sauce,valid
problem_user,secret_sauce,valid
performance_glitch_user,secret_sauce,valid
error_user,secret_sauce,valid
visual_user,secret_sauce,valid
locked_out_user,secret_sauce,locked
standard_user,,password_empty
problem_user,,password_empty
,secret_sauce,username_empty
,abc,username_empty
,,username_empty
standard_user,abc,not_match
problem_user,abc,not_match
performance_glitch,secret_sauce,not_match
error,secret_sauce,not_match
visual,abc,not_match
locked_out,abc,not_match
